t,theta1,theta_dot1,theta2,theta_dot2
14.9,-0.22019148569779742,-1.0543885834299598,0.1427124209194714,-1.210100806642181
15,-0.32382133155436094,-1.0171345551493078,0.022538000598471386,-1.1918923067364258
15.1,-0.42340151566348533,-0.9733570216835618,-0.09538734829885233,-1.165316222354406
15.2,-0.5182596502584684,-0.9225702383009996,-0.21028148791896722,-1.131413947084065
15.3,-0.6076497500149188,-0.8637947496903449,-0.32144796030141065,-1.090827782550274
15.4,-0.6907060453952315,-0.7956338817675703,-0.4282280476649212,-1.043650415228472
15.5,-0.766408940433244,-0.7164471012148518,-0.5299410223283382,-0.9893405454111508
15.6,-0.8335750114498757,-0.624664491737345,-0.6258193611203615,-0.9267068569524706
15.7,-0.8908867073530975,-0.5192661759729281,-0.7149461707756294,-0.853972437890719
15.8,-0.9369765096692928,-0.40037248460110586,-0.796204736126626,-0.7689631249494872
15.9,-0.9705684868910925,-0.26976015723392666,-0.8682560510569551,-0.6694913420329687
16,-0.9906559563575275,-0.13101893160681236,-0.9295671934166848,-0.5539942356269925
16.1,-0.9966668486654575,0.010869144287702581,-0.9785149828735629,-0.4223767809471114
16.2,-0.9885592879470859,0.15046438376963522,-1.0135740451068906,-0.2767913386495207
16.3,-0.9668127373511785,0.2829451275633918,-1.033560410276501,-0.12188553438114423
16.4,-0.9323238833749027,0.4048724948714883,-1.0378563004372752,0.03585153102934681
16.5,-0.8862528838636912,0.514406105665983,-1.0265271709626829,0.18951699231591895
16.6,-0.8298733091644691,0.6110494239037577,-1.0002834744885005,0.3333381110135941
16.7,-0.7644603940187408,0.695185027782292,-0.9603135958692302,0.4636114611492883
16.8,-0.6912258601192763,0.7676382558694161,-0.9080669191469471,0.5787657935294348
16.9,-0.6112897047767675,0.8293821119369083,-0.8450651277486287,0.678807475993542
17,-0.5256740464819708,0.881385493578498,-0.7727804038890158,0.7646093426289468
17.1,-0.43530696663398893,0.9245554398320721,-0.6925781567637713,0.8373643923533307
17.2,-0.341029683123077,0.9597207645696499,-0.6057016679377971,0.8982923536257393
17.3,-0.24360479636833587,0.9876232480184919,-0.5132756365576457,0.9485390399895328
17.4,-0.14372563324133458,1.0089037632463729,-0.4163143550781065,0.9891685081599357
17.5,-0.0420272300542007,1.0240840953760406,-0.31572940442985814,1.0211711759974453
