t,theta1,theta_dot1,theta2,theta_dot2
16.6,-0.7485378759564083,0.22740418804148246,-0.6926619446040505,-1.8082275763847604
16.7,-0.7226707177630726,0.29465416244187714,-0.8713902922546964,-1.7426244504836637
16.8,-0.6902039616493646,0.35980649084102795,-1.0420608617884042,-1.66609851053362
16.9,-0.6513473423028555,0.42230218182722273,-1.2038804121089217,-1.581296885324644
17,-0.6063646948005242,0.48155159681642434,-1.3563948977235403,-1.4908714469720366
17.1,-0.5555789452533104,0.5369389223042774,-1.499427910373126,-1.3973035662426379
17.2,-0.49937706461870246,0.587831404155697,-1.6330117791461574,-1.3027733077692507
17.3,-0.4382143217054572,0.6335933917182947,-1.7573240191466655,-1.20908308323174
17.4,-0.3726170173624536,0.6736047456121816,-1.8726362533970509,-1.117633494986681
17.5,-0.30318282197829904,0.7072826435783695,-1.979277382269644,-1.0294405173060943
17.6,-0.2305778871408236,0.7341053293276336,-2.0776091601941253,-0.9451796384737932
17.7,-0.15553013503354599,0.7536358573970936,-2.168010791862951,-0.8652432808788002
17.8,-0.07881852083060031,0.7655436995828805,-2.2508691984002267,-0.7898008280206958
17.9,-0.0012585718276833038,0.769622084452705,-2.326572408328795,-0.7188542704893263
18,0.07631495195738242,0.7657992660776978,-2.395504492657317,-0.6522857729741374
18.1,0.15306697941018738,0.7541425085038519,-2.4580412414685933,-0.589895911959258
18.2,0.22818107616261576,0.7348543488485625,-2.5145462772564646,-0.5314328938841753
18.3,0.3008768573122635,0.708261549321252,-2.565367554746971,-0.4766138953538933
18.4,0.370424557482089,0.6747979290732193,-2.610834289471588,-0.42513998428825095
18.5,0.4361558973088805,0.6349828643702885,-2.651254362681399,-0.37670608082784185
18.6,0.49747092361731204,0.5893975753332537,-2.686912220485171,-0.33100724928809017
18.7,0.5538410136717811,0.5386613538635657,-2.718067247971392,-0.2877423809600105
18.8,0.6048086309334324,0.4834096581245809,-2.744952573361761,-0.24661608226179793
18.9,0.6499846520297123,0.4242755766134809,-2.767774237796329,-0.2073393748526994
19,0.6890441507585223,0.36187564203524947,-2.7867106590665034,-0.16962963696243588
19.1,0.7217214577605539,0.29680043915830945,-2.8019123195386784,-0.13321007839828994
19.2,0.7478051618634969,0.22960997640737654,-2.8135016132675243,-0.09780894283441918
19.3,0.7671335384514727,0.16083343164328123,-2.8215727957455945,-0.06315856044510494
19.4,0.779590723960875,0.09097262652531017,-2.8261919903392867,-0.028994322541405604
19.5,0.7851038173746205,0.020508427000858157,-2.827397216853075,0.004946380114065788
19.6,0.7836409953849571,-0.050090803068793655,-2.8251984164887056,0.03892523341643162
19.7,0.7752106755015112,-0.12035958137957045,-2.8195774593473826,0.07320408110815274
19.8,0.7598617385557684,-0.18982542752512005,-2.810488130850442,0.10804600524795721
19.9,0.7376848067485736,-0.25799962255152437,-2.797856103941785,0.14371639906386763
20,0.7088145600659601,-0.32436950647757257,-2.7815789140812655,0.18048402072519518
20.1,0.6734330383660992,-0.38839320189643023,-2.761525965281787,0.21862200158316838
20.2,0.6317738078485368,-0.4494976116167123,-2.737538604846699,0.258408759560987
20.3,0.584126760322323,-0.5070804406218811,-2.709430316270353,0.30012873305665794
20.4,0.5308431569171124,-0.5605167938192362,-2.6769870900226094,0.344072793183853
20.5,0.4723403567215227,-0.6091705960467849,-2.6399680377678165,0.39053811647366443
20.6,0.4091054904855842,-0.6524106893339924,-2.5981063230473183,0.4398271883678682
20.7,0.34169722294460547,-0.689630925598915,-2.551110475471729,0.4922454644118507
20.8,0.27074472734056226,-0.7202730704384805,-2.498666150886841,0.5480970247772757
20.9,0.19694312440902817,-0.7438508048753051,-2.4404383774294516,0.6076773290289617
21,0.12104494918584435,-0.75997277600509,-2.3760742934643773,0.6712619444427231
21.1,0.043847661248181666,-0.7683625254442973,-2.305206347826217,0.7390899181823765
21.2,-0.03382225060633572,-0.7688732806667748,-2.227455916874774,0.8113402721754266
21.3,-0.11112750390018841,-0.761496041514736,-2.142437304486376,0.888100256987783
21.4,-0.18723915512333666,-0.7463600812713941,-2.0497622340605446,0.9693243705716472
21.5,-0.26135503817856376,-0.7237258074834284,-1.9490452518275438,1.0547842109892436
21.6,-0.3327160318596388,-0.6939707611899336,-1.8399110428228078,1.1440110373081815
21.7,-0.40061903230688095,-0.6575702447702755,-1.7220055120713822,1.236235618876332
21.8,-0.46442600869177153,-0.6150745514408272,-1.5950134495185555,1.3303334261023658
21.9,-0.5235690602840289,-0.5670849668387083,-1.458686255065765,1.4247868438111133
22,-0.5775518629544992,-0.5142306234218363,-1.3128828538052904,1.5176786224285654
22.1,-0.6259482192041177,-0.4571479611961985,-1.1576248216694405,1.6067304524380135
22.2,-0.6683985807047906,-0.3964640671720011,-0.9931624788748565,1.689395431803179
22.3,-0.7046054112873434,-0.33278462694319694,-0.8200431830251047,1.7630034730079867
22.4,-0.7343281466696173,-0.26668671325384186,-0.6391677567151525,1.8249457946620296
22.5,-0.7573783407171815,-0.19871620305983487,-0.4518186468491997,1.8728741033399559
22.6,-0.7736154001763399,-0.12938929672979893,-0.25964553207368757,1.9048863114579704
22.7,-0.7829431630204354,-0.059197416967426225,-0.06460112826943908,1.919675511476433
22.8,-0.7853074504036752,0.011385354734674787,0.13116925122266704,1.91662902141687
22.9,-0.7806946522265115,0.08189318427960612,0.3254703717097375,1.895873535490769
23,-0.7691313683517681,0.15185863580525022,0.5162076899696155,1.8582657274139591
23.1,-0.7506851084872143,0.22080296880143796,0.701521314914435,1.805328819699101
23.2,-0.7254660432285146,0.2882274800931306,0.879881869068003,1.7391357068899673
23.3,-0.6936297760110612,0.35360678986550037,1.050137533786617,1.6621454142435157
23.4,-0.6553810552312158,0.4163849448372154,1.2115126956966724,1.5770098027456445
23.5,-0.6109782651183497,0.4759751497589536,1.3635683493560917,1.4863762144464716
23.6,-0.5607383913688906,0.5317638011666351,1.5061398254959617,1.392713974400638
23.7,-0.5050420023240428,0.5831192482879847,1.639267898583258,1.2981861058440098
23.8,-0.4443376042369321,0.6294053770374642,1.7631357249079793,1.2045756585437077
23.9,-0.3791445631751408,0.6699996344329012,1.8780184518486043,1.1132638597203317
24,-0.3100537099164448,0.7043145701027279,1.9842470549610665,1.0252489513469465
24.1,-0.23772479607566,0.7318214618448411,2.0821844350717997,0.941191274954084
24.2,-0.16288017073994582,0.7520741586159869,2.1722103635570518,0.8614710361534378
24.3,-0.08629442631206435,0.7647309904884865,2.254711951096561,0.7862482500015717
24.4,-0.00878027044102822,0.7695726053653641,2.330077142969782,0.7155180555655147
24.5,0.06882858528171801,0.7665138902732981,2.3986897035995542,0.6491578418894112
24.6,0.14569625959192978,0.7556086936165193,2.460924918063723,0.586965034353239
24.7,0.22100371717106485,0.737046831370739,2.517145724509546,0.528685895738222
24.8,0.2939663932477727,0.7111437055448825,2.567699233767006,0.4740365194642358
24.9,0.3638490841758737,0.6783236582524392,2.612913680274972,0.42271747745567784
25,0.4299771953270378,0.6390988019851168,2.653095850809212,0.37442357556436967
25.1,0.49174397043134144,0.5940454245260461,2.688529006979232,0.3288499969342788
25.2,0.548613846566804,0.543780132800317,2.7194712819518605,0.28569587895255943
25.3,0.600122490793134,0.48893769321013664,2.7461545039000037,0.2446661311387705
25.4,0.6458743240340132,0.43015211929999536,2.7687833814052483,0.20547209024580565
25.5,0.6855384163324707,0.3680420340856052,2.7875349795122184,0.16783143291078867
25.6,0.7188435836578997,0.30320080929421783,2.8025584173768445,0.13146763366746114
25.7,0.7455733717141997,0.23619149077711116,2.8139747214179804,0.09610915815472838
25.8,0.7655614274278097,0.16754614387934555,2.821876778981247,0.06148850974804561
25.9,0.7786875907640894,0.09776899827037869,2.826329346844015,0.02734120131613639
26,0.7848749009864732,0.02734260341525088,2.8273690795009396,-0.006595306846348917
26.1,0.7840876117797109,-0.04326387435450596,2.825004553227247,-0.04058268345456835
